### SHEET: SSOC2024-ISCO08 (1133 rows)
0	Singapore Standard Occupational Classification 2024 – Correspondence Table between SSOC 2024 and International Standard Classification of Occupations 2008 (ISCO-08) |  |  |  | 
1	Last updated: 21 Mar 2024 |  |  |  | 
2	Department of Statistics, Ministry of Trade & Industry, Republic of Singapore |  |  |  | 
3	 |  |  |  | 
4	SSOC 2024 Title | SSOC 2024 | ISCO-08 | ISCO-08 Part | ISCO-08 Title
5	- | - | 1113 |  | Traditional chiefs and heads of villages
6	Legislator | 11110 | 1111 |  | Legislators
7	Senior government official | 11121 | 1112 |  | Senior government officials
8	Senior statutory board official | 11122 | 1112 |  | Senior government officials
9	Senior official of political party organisation | 11140 | 1114 |  | Senior officials of special-interest organizations
10	Senior official of employers'/workers' and related economic-interest organisation | 11150 | 1114 |  | Senior officials of special-interest organizations
11	Senior official of humanitarian and other special-interest organisation | 11160 | 1114 |  | Senior officials of special-interest organizations
12	Managing director/Chief executive officer | 11201 | 1120 |  | Managing directors and chief executives
13	Company director | 11202 | 1120 |  | Managing directors and chief executives
14	Chief operating officer/General manager | 11203 | 1120 |  | Managing directors and chief executives
15	Budgeting/Financial accounting manager | 12111 | 1211 |  | Finance managers
16	Administration manager | 12112 | 1219 |  | Business services and administration managers not elsewhere classified
17	Audit manager | 12113 | 1211 |  | Finance managers
18	Personnel/Human resource manager | 12121 | 1212 |  | Human resource managers
19	Industrial relations manager | 12122 | 1212 |  | Human resource managers
20	Training manager | 12123 | 1212 |  | Human resource managers
21	Policy manager | 12131 | 1213 |  | Policy and planning managers
22	Strategic planning manager | 12132 | 1213 |  | Policy and planning managers
23	Risk management manager | 12133 | 1213 |  | Policy and planning managers
24	Premises/Facilities maintenance manager (excluding building security) | 12191 | 1219 |  | Business services and administration managers not elsewhere classified
25	Landscape manager | 12192 | 1219 |  | Business services and administration managers not elsewhere classified
26	Cleaning operations manager | 12193 | 1219 |  | Business services and administration managers not elsewhere classified
27	Security manager | 12194 | 1219 |  | Business services and administration managers not elsewhere classified
28	Intellectual property manager | 12195 | 1219 |  | Business services and administration managers not elsewhere classified
29	Other business services/administration manager n.e.c. | 12199 | 1219 |  | Business services and administration managers not elsewhere classified
30	Sales manager | 12211 | 1221 |  | Sales and marketing managers
31	Business development manager | 12212 | 1221 |  | Sales and marketing managers
32	Regional sales manager | 12213 | 1221 |  | Sales and marketing managers
33	Merchandising/Category manager | 12214 | 1221 |  | Sales and marketing managers
34	Online sales channel manager | 12215 | 1221 |  | Sales and marketing managers
35	Advertising/Public relations manager | 12221 | 1222 |  | Advertising and public relations managers
36	Marketing manager | 12222 | 1221 |  | Sales and marketing managers
37	Research and development manager | 12230 | 1223 |  | Research and development managers
38	Customer service manager | 12241 | 1219 |  | Business services and administration managers not elsewhere classified
39	Call centre manager | 12242 | 1219 |  | Business services and administration managers not elsewhere classified
40	Production manager in agriculture/fisheries | 13100 | 1311 | p | Agricultural and forestry production managers
41	Production manager in agriculture/fisheries | 13100 | 1312 | p | Aquaculture and fisheries production managers
42	Manufacturing manager | 13210 | 1321 |  | Manufacturing managers
43	Construction manager | 13230 | 1323 |  | Construction managers
44	Supply and distribution/Logistics/Warehousing manager | 13241 | 1324 |  | Supply, distribution and related managers
45	Procurement/Purchasing manager | 13242 | 1324 |  | Supply, distribution and related managers
46	Transport/Technical operations manager (excluding port and shipping operations) | 13243 | 1324 |  | Supply, distribution and related managers
47	Postal service manager | 13244 | 1324 |  | Supply, distribution and related managers
48	Port/Shipping operations manager | 13245 | 1324 |  | Supply, distribution and related managers
49	Technical/Engineering services manager (excluding transport) | 13291 | 1323 | p | Construction managers
50	Technical/Engineering services manager (excluding transport) | 13291 | 1321 | p | Manufacturing managers
51	Quality control/assurance manager | 13292 | 1323 | p | Construction managers
52	Quality control/assurance manager | 13292 | 1321 | p | Manufacturing managers
53	Other production/operations manager n.e.c. | 13299 | 1322 |  | Mining managers
54	Chief information officer/Chief technology officer/Chief information security officer | 13301 | 1330 |  | Information and communications technology service managers
55	Software and applications manager | 13302 | 1330 |  | Information and communications technology service managers
56	Network/Communications/Infrastructure manager | 13303 | 1330 |  | Information and communications technology service managers
57	ICT service manager | 13304 | 1330 |  | Information and communications technology service managers
58	Chief product officer | 13305 | 1221 | p | Sales and marketing managers
59	Chief product officer | 13305 | 1330 | p | Information and communications technology service managers
60	ICT product design manager | 13306 | 1330 |  | Information and communications technology service managers
61	Preschool education/Early intervention centre manager | 13410 | 1341 |  | Child care service managers
62	Health services manager | 13420 | 1342 |  | Health service managers
63	Aged care services manager | 13430 | 1343 |  | Aged care service managers
64	Social services manager | 13441 | 1344 |  | Social welfare managers
65	Volunteer manager | 13442 | 1344 |  | Social welfare managers
66	School principal | 13451 | 1345 |  | Education managers
67	Education/Training institution manager n.e.c. | 13459 | 1345 |  | Education managers
68	Financial services manager | 13461 | 1346 |  | Financial and insurance services branch managers
69	Insurance services manager | 13462 | 1346 |  | Financial and insurance services branch managers
70	Financial risk manager | 13463 | 1346 |  | Financial and insurance services branch managers
71	National security/Civil defence/Immigration managerial officer | 13491 | 1349 |  | Professional services managers not elsewhere classified
72	Community partnership/relations manager | 13492 | 1349 |  | Professional services managers not elsewhere classified
73	Media/Broadcast manager | 13493 | 1349 |  | Professional services managers not elsewhere classified
74	Other professional/financial/community/social services manager n.e.c. | 13499 | 1349 |  | Professional services managers not elsewhere classified
75	Hotel operations/Lodging services manager | 14110 | 1411 |  | Hotel managers
76	Restaurant manager | 14121 | 1412 |  | Restaurant managers
77	Catering manager | 14122 | 1412 |  | Restaurant managers
78	Food and beverage operations manager | 14123 | 1412 |  | Restaurant managers
79	Retail manager | 14201 | 1420 |  | Retail and wholesale trade managers
80	Wholesale trade manager | 14202 | 1420 |  | Retail and wholesale trade managers
81	Sports centre manager | 14310 | 1431 |  | Sports, recreation and cultural centre managers
82	Casino operations manager | 14321 | 1431 |  | Sports, recreation and cultural centre managers
83	Attractions manager | 14322 | 1431 |  | Sports, recreation and cultural centre managers
84	Discotheque/Karaoke/Nightclub manager | 14323 | 1431 |  | Sports, recreation and cultural centre managers
85	Wellness centre manager | 14324 | 1431 |  | Sports, recreation and cultural centre managers
86	Country club manager | 14325 | 1431 |  | Sports, recreation and cultural centre managers
87	Recreation centre manager n.e.c. | 14329 | 1431 |  | Sports, recreation and cultural centre managers
88	Arts/Cultural centre manager | 14330 | 1349 | p | Professional services managers not elsewhere classified
89	Arts/Cultural centre manager | 14330 | 1431 | p | Sports, recreation and cultural centre managers
90	Event manager | 14391 | 1439 |  | Services managers not elsewhere classified
91	Travel agency manager | 14392 | 1439 |  | Services managers not elsewhere classified
92	Other services manager n.e.c. | 14399 | 1439 |  | Services managers not elsewhere classified
93	Physicist/Astronomer | 21110 | 2111 |  | Physicists and astronomers
94	Meteorologist | 21120 | 2112 |  | Meteorologists
95	Chemist | 21130 | 2113 |  | Chemists
96	Geologist | 21141 | 2114 |  | Geologists and geophysicists
97	Geophysicist | 21142 | 2114 |  | Geologists and geophysicists
98	Geologist/Geophysicist and related physical science professional n.e.c. | 21149 | 2114 |  | Geologists and geophysicists
99	Mathematician | 21211 | 2120 |  | Mathematicians, actuaries and statisticians
100	Operations research analyst | 21212 | 2120 |  | Mathematicians, actuaries and statisticians
101	Actuary | 21213 | 2120 |  | Mathematicians, actuaries and statisticians
